"hora","tok_s","modelo","vram_libre"
"18:11:09","63.1","Qwen3-VL-8B-Instruct-Q6_K","2928"
"18:16:11","63.2","Qwen3-VL-8B-Instruct-Q6_K","2922"
"18:21:12","63.5","Qwen3-VL-8B-Instruct-Q6_K","2930"
"18:26:14","63.5","Qwen3-VL-8B-Instruct-Q6_K","2939"
"18:31:16","63.7","Qwen3-VL-8B-Instruct-Q6_K","2906"
"18:36:17","53.2","Qwen3-VL-8B-Instruct-Q6_K","2914"
"18:41:19","54.5","Qwen3-VL-8B-Instruct-Q6_K","2930"
"18:46:21","63","Qwen3-VL-8B-Instruct-Q6_K","2911"
"18:51:23","63","Qwen3-VL-8B-Instruct-Q6_K","2923"
"18:56:24","63.7","Qwen3-VL-8B-Instruct-Q6_K","2910"
"19:01:26","63.6","Qwen3-VL-8B-Instruct-Q6_K","2877"
"19:06:28","63.5","Qwen3-VL-8B-Instruct-Q6_K","2907"
"19:11:29","63.4","Qwen3-VL-8B-Instruct-Q6_K","2889"
